Case,year,Month,service,departure station,arrival_station,journey_time_avg,total_num_trips,num_of_canceled_trains,comment_cancellations,num_late_at_departure,avg_delay_late_at_departure,avg_delay_all_departing,comment_delays_at_departure,num_arriving_late,avg_delay_late_on_arrival,avg_delay_all_arriving,comment_delays_on_arrival,delay_cause_external_cause,delay_cause_rail_infrastructure,delay_cause_traffic_management,delay_cause_rolling_stock,delay_cause_station_management,delay_cause_travelers,num_greater_15_min_late,avg_delay_late_greater_15_min,num_greater_30_min_late,num_greater_60_min_late
1,2017,9,National,PARIS EST,METZ,85.13377926,299,0,#N/A,15,11.55,0.752006689,#N/A,17,13.79411765,0.419843924,#N/A,0.25,0,0.166666667,0.416666667,0.166666667,0,6,24.03333333,1,0
2,2017,9,National,REIMS,PARIS EST,47.06451613,218,1,#N/A,10,14.65333333,1.263517665,#N/A,23,13.57028986,1.137557604,#N/A,0.25,0.375,0.125,0.125,0.0625,0.0625,9,21.49814815,1,0
3,2017,9,National,PARIS EST,STRASBOURG,116.2349398,333,1,#N/A,20,13.69416667,1.139257028,#N/A,19,21.53245614,1.586395582,#N/A,0.214285714,0.214285714,0.071428571,0.285714286,0.214285714,0,14,24.69404762,3,0
4,2017,9,National,PARIS LYON,AVIGNON TGV,161.0895833,481,1,#N/A,36,20.98842593,1.406215278,#N/A,61,26.56666667,4.788541667,#N/A,0.155172414,0.120689655,0.310344828,0.344827586,0.034482759,0.034482759,40,34.0475,21,5
5,2017,9,National,PARIS LYON,BELLEGARDE (AIN),164.4526316,190,0,#N/A,16,20.96354167,1.728947368,#N/A,38,23.15175439,6.008859649,#N/A,0.166666667,0.25,0.25,0.305555556,0,0.027777778,26,28.40128205,8,1
6,2017,9,National,PARIS LYON,BESANCON FRANCHE COMTE TGV,128.5210526,191,1,#N/A,18,19.96388889,1.83877193,#N/A,18,31.58796296,5.033684211,#N/A,0.111111111,0.111111111,0.222222222,0.5,0,0.055555556,15,35.79666667,8,1
7,2017,9,National,CHAMBERY CHALLES LES EAUX,PARIS LYON,183.9182692,208,0,#N/A,49,12.51938776,3.816907051,#N/A,38,25.92149123,6.445352564,#N/A,0.058823529,0.352941176,0.382352941,0.176470588,0.029411765,0,31,29.07741935,11,1
8,2017,9,National,PARIS LYON,GRENOBLE,186.3271028,216,2,#N/A,24,20.47013889,2.211682243,#N/A,37,36.62162162,6.579439252,#N/A,0.108108108,0.189189189,0.27027027,0.351351351,0.081081081,0,24,49.6875,13,6
9,2017,9,National,LYON PART DIEU,PARIS LYON,121.2833333,661,1,#N/A,141,13.08392435,3.898055556,#N/A,122,21.38483607,5.353560606,#N/A,0.049019608,0.323529412,0.294117647,0.18627451,0.12745098,0.019607843,70,28.07642857,20,3
10,2017,9,National,PARIS LYON,MACON LOCHE,97.43781095,201,0,#N/A,23,18.11594203,2.141708126,#N/A,26,25.66346154,5.144776119,#N/A,0,0.173913043,0.391304348,0.347826087,0.043478261,0.043478261,16,33.88541667,9,1
11,2017,9,National,PARIS LYON,MARSEILLE ST CHARLES,198.4859813,429,1,#N/A,33,23.13535354,1.635942368,#N/A,64,33.41640625,6.766939252,#N/A,0.238095238,0.111111111,0.26984127,0.301587302,0.047619048,0.031746032,46,41.6057971,25,9
12,2017,9,National,MONTPELLIER,PARIS LYON,205.816568,341,3,#N/A,51,16.81601307,2.965483235,#N/A,67,26.95870647,5.976084813,#N/A,0.209677419,0.419354839,0.241935484,0.064516129,0.016129032,0.048387097,49,32.36836735,15,4
13,2017,9,National,PARIS LYON,MULHOUSE VILLE,166.7587302,316,1,#N/A,39,21.22051282,2.634497355,#N/A,33,29.68787879,4.178518519,#N/A,0.153846154,0.115384615,0.192307692,0.461538462,0.038461538,0.038461538,25,35.35733333,13,1
14,2017,9,National,MULHOUSE VILLE,PARIS LYON,168.7133956,322,1,#N/A,30,9.86,1.743042575,#N/A,24,19.74791667,2.324818276,#N/A,0.1,0.2,0.4,0.2,0.05,0.05,10,31.30166667,2,1
15,2017,9,National,PARIS MONTPARNASSE,ANGERS SAINT LAUD,90.885,403,3,#N/A,22,17.39772727,0.94125,#N/A,66,22.36338384,4.780833333,#N/A,0.157894737,0.350877193,0.280701754,0.122807018,0.035087719,0.052631579,28,38.63452381,13,4
16,2017,9,National,BORDEAUX ST JEAN,PARIS MONTPARNASSE,143.0643623,842,3,#N/A,135,14.16950617,2.748192292,#N/A,136,22.62401961,4.999185538,#N/A,0.115702479,0.388429752,0.231404959,0.198347107,0.041322314,0.024793388,76,30.62807018,21,4
17,2017,9,National,LA ROCHELLE VILLE,PARIS MONTPARNASSE,170.5204082,199,3,#N/A,1,29,0.265306122,#N/A,32,19.3765625,4.917346939,#N/A,0.275862069,0.310344828,0.24137931,0.172413793,0,0,16,26.57083333,4,1
18,2017,9,National,PARIS MONTPARNASSE,POITIERS,94.11157895,479,4,#N/A,35,13.05761905,0.911473684,#N/A,49,22.33197279,3.703508772,"Ce mois-ci, cette OD a été touchée par:
Le 17 : Incident caténaire au nord de Bordeaux  (37 TGV ; 382’)
Le 19 : Avarie Matérielle à St Pierre des Corps (15 TGV ; 384’)
Le 20 : Colis suspect à Paris Montparnasse  (17 TGV ; 208’)
Le 25 : Dérangement d’installation Télecom entre Paris et Massy (40 TGV ; 803’)
Le 27 : Rail cassé à Courtalain (100 TGV ; 4112’)
Le 28 : défaillance matérielle en sortie de Paris Montparnasse (22 TGV ; 395’)",0.153846154,0.384615385,0.102564103,0.307692308,0.025641026,0.025641026,25,35.48,9,4
19,2017,9,National,POITIERS,PARIS MONTPARNASSE,93.69318182,442,2,#N/A,72,12.75810185,2.680454545,#N/A,90,16.90222222,4.594204545,#N/A,0.202898551,0.376811594,0.231884058,0.144927536,0.028985507,0.014492754,37,26.4036036,8,1
20,2017,9,National,PARIS MONTPARNASSE,RENNES,98.53288364,597,4,#N/A,49,17.49285714,1.553091625,#N/A,100,20.88,4.344013491,#N/A,0.202531646,0.278481013,0.215189873,0.265822785,0.025316456,0.012658228,40,37.675,14,5
21,2017,9,National,VANNES,PARIS MONTPARNASSE,156.027027,259,0,#N/A,21,16.04761905,2.154440154,#N/A,49,23.53911565,6.741184041,#N/A,0.15,0.425,0.25,0.125,0,0.05,29,31.4408046,7,3
22,2017,9,National,LILLE,MARSEILLE ST CHARLES,300.2827586,146,1,#N/A,16,14.63020833,1.947011494,#N/A,45,25.66814815,10.39505747,"Nombreux colis suspects RYT (03-05-06-07-09-11-12-1726-29) RYT
Nombreux colis suspects MVC (07-10-21-27-29) MVC
Causes espacement zone SE, avec des trains inter secteurs qui ne dépassent pas les 60% de régularité pour le mois (9866: 16,7%; 9882 : 60%; 9860: 50% et 9828: 46,7%)--On peut ajouter les 5180 et 5186 qui ne dépassent pas les63% de régularité.",0.243243243,0.324324324,0.162162162,0.189189189,0,0.081081081,45,25.66814815,12,1
23,2017,9,International,PARIS EST,FRANCFORT,128.124183,153,0,#N/A,25,14.55533333,2.607407407,#N/A,17,27.18235294,3.04248366,#N/A,0.090909091,0.363636364,0.181818182,0.181818182,0.181818182,0,14,30.07857143,6,0
24,2017,9,International,PARIS LYON,LAUSANNE,219.9509524,141,1,#N/A,13,22.34102564,2.002738095,#N/A,21,32.51507937,6.288095238,#N/A,0.095238095,0.19047619,0.285714286,0.380952381,0,0.047619048,19,34.9377193,6,2
25,2017,1,National,ANGERS SAINT LAUD,PARIS MONTPARNASSE,96.61777778,467,17,#N/A,35,15.55809524,1.984185185,#N/A,37,27.89189189,3.489074074,#N/A,0.294117647,0.294117647,0.147058824,0.117647059,0,0.147058824,27,33.75123457,13,3
26,2017,1,National,DOUAI,PARIS NORD,79.475,205,5,#N/A,9,13.13518519,1.09625,#N/A,45,14.51592593,3.571666667,#N/A,0.258064516,0.193548387,0.387096774,0.096774194,0.064516129,0,13,30.14871795,5,1
27,2017,1,National,LYON PART DIEU,LILLE,186.7755102,299,5,#N/A,148,17.4161036,9.615079365,#N/A,92,30.18369565,10.93066893,#N/A,0.225,0.2125,0.225,0.2125,0.0875,0.0375,73,34.81232877,22,7
28,2017,1,National,MACON LOCHE,PARIS LYON,98.92195122,210,5,#N/A,79,12.32932489,5.937235772,#N/A,26,26.13141026,3.053170732,#N/A,0.130434783,0.304347826,0.260869565,0.217391304,0.043478261,0.043478261,20,30.34583333,8,0
29,2017,1,National,MARSEILLE ST CHARLES,PARIS LYON,201.4195122,418,8,#N/A,28,19.00833333,1.55296748,#N/A,48,47.58090278,4.786707317,présence de personnes dans les voies + arbre engageant le gabarit + multiples dérangements + balourd tripode sur le 6120 + détresse d'un train de travaux,0.1875,0.208333333,0.333333333,0.25,0.020833333,0,34,62.32009804,22,13
30,2017,1,National,MARSEILLE ST CHARLES,LILLE,300.3563218,178,4,#N/A,15,26.29222222,2.593678161,#N/A,48,35.87777778,11.58898467,#N/A,0.217391304,0.260869565,0.239130435,0.173913043,0.065217391,0.043478261,48,35.87777778,14,6
31,2017,1,National,NANCY,PARIS EST,93.84137931,291,1,#N/A,39,16.56367521,2.670344828,#N/A,39,27.07008547,2.818793103,#N/A,0.235294118,0.058823529,0.441176471,0.176470588,0.029411765,0.058823529,20,43.55666667,10,3
32,2017,1,National,PARIS EST,NANCY,95.18118467,289,2,#N/A,25,22.19933333,2.113937282,#N/A,32,33.93697917,4.181881533,#N/A,0.310344828,0.034482759,0.275862069,0.310344828,0.068965517,0,22,43.84015152,13,4
33,2017,1,National,PARIS LYON,LE CREUSOT MONTCEAU MONTCHANIN,78.8159204,201,0,#N/A,18,15.92962963,1.345356551,#N/A,19,25.35877193,2.771973466,#N/A,0.230769231,0.384615385,0.153846154,0.230769231,0,0,7,53.86428571,5,3
34,2017,1,National,PARIS LYON,MACON LOCHE,95.79262673,218,1,#N/A,13,14.01410256,0.858525346,#N/A,18,22.81296296,2.231105991,#N/A,0.277777778,0.277777778,0,0.444444444,0,0,10,31.46,6,0
35,2017,1,National,PARIS LYON,MARSEILLE ST CHARLES,202.9051095,413,2,#N/A,28,18.7202381,1.114963504,#N/A,45,46.71111111,6.1918897,présence de personnes dans les voies + arbre engageant le gabarit + multiples dérangements + alarme incendie sur le 6207,0.113636364,0.295454545,0.25,0.340909091,0,0,34,57.96323529,19,10
36,2017,1,National,PARIS LYON,MULHOUSE VILLE,167.6042403,289,6,#N/A,21,17.45079365,1.168669022,#N/A,46,28.60471014,6.187220259,#N/A,0.157894737,0.184210526,0.289473684,0.289473684,0.052631579,0.026315789,32,35.78125,10,4
37,2017,1,National,PARIS LYON,NICE VILLE,343.2786885,194,11,#N/A,17,19.60980392,0.231876138,#N/A,28,45.64345238,9.823588342,présence de personnes dans les voies + arbre engageant le gabarit + multiples dérangements + alarme incendie sur le 6207,0.214285714,0.285714286,0.25,0.178571429,0.035714286,0.035714286,28,45.64345238,13,6
38,2017,1,International,PARIS LYON,ZURICH,177.9905594,143,0,#N/A,12,11.65972222,0.793123543,#N/A,22,33.22727273,6.229487179,#N/A,0.090909091,0.318181818,0.272727273,0.272727273,0,0.045454545,15,42.73333333,5,2
39,2017,1,National,PARIS MONTPARNASSE,NANTES,139.5307377,510,22,#N/A,25,18.66866667,0.95420082,#N/A,64,32.24427083,6.713490437,#N/A,0.233333333,0.283333333,0.25,0.2,0.016666667,0.016666667,33,50.97878788,16,4
40,2017,1,National,PARIS MONTPARNASSE,VANNES,197.2535211,213,0,#N/A,14,17.75833333,1.04170579,#N/A,29,35.18965517,5.305164319,#N/A,0.36,0.12,0.08,0.32,0.04,0.08,21,43.78571429,10,4
41,2017,1,National,PARIS NORD,DOUAI,66.405,202,2,#N/A,7,13.90952381,0.601583333,#N/A,38,14.17280702,2.5855,#N/A,0.25,0.321428571,0.214285714,0.071428571,0.142857143,0,10,30.27333333,3,1
42,2017,1,National,PARIS NORD,DUNKERQUE,119.6827309,253,4,#N/A,9,19.61481481,0.692570281,#N/A,20,26.05,2.544176707,#N/A,0.45,0.2,0.15,0.2,0,0,17,28.41176471,5,0
43,2017,1,National,PERPIGNAN,PARIS LYON,302.3184713,160,3,#N/A,22,15.02575758,2.486093418,#N/A,22,52.88409091,6.187261147,présence de personnes dans les voies + arbre engageant le gabarit + multiples dérangements + balourd tripode sur le 6120 + détresse d'un train de travaux,0.117647059,0.235294118,0.294117647,0.294117647,0.058823529,0,22,52.88409091,12,5
44,2017,1,National,RENNES,LYON PART DIEU,259.8019802,105,4,#N/A,8,15.875,1.871287129,#N/A,19,39.82807018,6.838943894,#N/A,0.222222222,0.444444444,0.166666667,0.166666667,0,0,19,39.82807018,10,4
45,2017,1,National,SAINT ETIENNE CHATEAUCREUX,PARIS LYON,168.375,115,3,#N/A,1,21.8,-0.146875,#N/A,14,19.25,2.697172619,#N/A,0.444444444,0.111111111,0.333333333,0.111111111,0,0,9,23.14444444,1,0
46,2017,1,National,ST PIERRE DES CORPS,PARIS MONTPARNASSE,63.12993039,434,3,#N/A,66,18.12752525,3.646055684,#N/A,88,16.85018939,4.010402166,"Le 1er janvier : accident de personne à Châtellerault (44 TGV ; 2744’)
Le 2 : Avarie sur le pantographe d’un TER à Paris Montparnasse (29 TGV ; 329’)
Le 4 : Choc anormal sur la ligne à grande vitesse (33 TGV ; 814’)
Le 4 : Dérangement d’un appareil de voie à Paris Montparnasse (24 TGV ; 475’)
Le 11 : Colis suspect à Ruffec (14 TGV ; 235’)
Le 17 : Rail cassé à Massy (31 TGV ; 573’)
Le 18 : Dérangement d’installation suite à travaux non conformes à Angoulême (19 TGV ; 260’)",0.224137931,0.344827586,0.172413793,0.206896552,0,0.051724138,26,36.90384615,8,5
47,2017,1,National,VALENCE ALIXAN TGV,PARIS LYON,132.6363636,273,9,#N/A,62,13.16854839,3.872032828,#N/A,31,30.54301075,1.755429293,#N/A,0.217391304,0.260869565,0.173913043,0.347826087,0,0,26,34,11,2
48,2017,7,National,PARIS LYON,DIJON VILLE,95.84309133,429,2,#N/A,64,25.8125,3.976580796,#N/A,63,27.82539683,4.149882904,heurt d'une personne par un Transilien à Maisons-Alfort +  dérangement de signalisation à Vaux-en-Pré + alarme incendie et absence d'alimentation sur le 6145 à Pasilly,0.211538462,0,0.096153846,0.634615385,0.038461538,0.019230769,41,36.7715447,18,6
49,2017,7,National,PARIS LYON,LE CREUSOT MONTCEAU MONTCHANIN,78.62621359,206,0,#N/A,20,12.6,1.218446602,#N/A,41,11.04878049,2.480582524,#N/A,0.275862069,0.206896552,0.206896552,0.24137931,0,0.068965517,7,26.4809524,2,0
50,2017,7,National,PARIS LYON,NICE VILLE,341.6749117,287,4,#N/A,54,21.24074074,4.070671378,#N/A,88,39.78409091,15.26501767,heurt d'une personne par un Transilien à Maisons-Alfort + dérangement de signalisation à Chandieu-Tousssieu + mutiples incendies vers Aix-en-Provence + alarme incendie et absence d'alimentation sur le 6145 à Pasilly + caténaire endommagée entre Toulon et La Garde,0.302325581,0.11627907,0.26744186,0.174418605,0.093023256,0.046511628,88,39.769697,54,14
51,2017,7,National,PARIS LYON,PERPIGNAN,305.7414634,205,0,#N/A,36,26.13888889,4.429268293,#N/A,44,52.52272727,13.23414634,#N/A,0.272727273,0.318181818,0.113636364,0.272727273,0.022727273,0,44,52.5185606,26,12
52,2017,7,National,PERPIGNAN,PARIS LYON,306.0808511,235,0,#N/A,43,14.60465116,3.161702128,#N/A,47,43.4893617,9.804255319,heurt d'une personne par un Transilien à Maisons-Alfort +  dérangement de signalisation à Vaux-en-Pré + incendie aux abords des voies entre Avignon et Nîmes + dérangement d'aiguille à Vestric,0.43902439,0.024390244,0.317073171,0.097560976,0,0.12195122,47,43.5255319,22,8
53,2017,7,National,BORDEAUX ST JEAN,PARIS MONTPARNASSE,143.7222222,776,20,#N/A,203,18.45320197,5.531746032,#N/A,195,36.16923077,10.83994709,"Ce mois-ci, l'OD a été touchée par: 
Le 7 : Défaillance matérielle à la sortie de la gare de Paris Montparnasse (87 TGV ; 2202’)
Le 11 : Divergence entre les équipements au sol et les TGV en circulation sur la grande ceinture parisienne (36 TGV ; 1034’)
Le 13 : Dérangement d’aiguille sur le tronc commun des lignes grandes vitesse à St Arnoult (19 TGV ; 289’)
Le 13 : Défaut d’alimentation électrique à la sortie de la gare de Paris Montparnasse (30 TGV ; 422’)
Le 17 : Rupture caténaire en gare de Paris Montparnasse (75 TGV ; 4801’)
Le 19 : Dérangement d’installation télécom sur la nouvelle ligne grande vitesse vers Bordeaux (22 TGV ; 543’)
Le 25 : Dérangement d’installation sur la nouvelle ligne grande vitesse vers Bordeaux (21 TGV ; 482’)
Le 19 : Personnes dans les voies à la sortie de la gare de Paris Montparnasse (24 TGV ; 363’)
Du 29 au 31 : Dérangement du poste de Vanves (450 TGV ; 27110’)",0.141935484,0.451612903,0.129032258,0.225806452,0.019354839,0.032258065,143,44.859324,68,29
54,2017,7,National,LAVAL,PARIS MONTPARNASSE,88.3125,209,1,#N/A,28,19.39285714,3.490384615,#N/A,60,24.86666667,7.682692308,"Ce mois-ci, l'OD a été touchée par: 
Le 7 : Défaillance matérielle à la sortie de la gare de Paris Montparnasse (87 TGV ; 2202’)
Le 11 : Divergence entre les équipements au sol et les TGV en circulation sur la grande ceinture parisienne (36 TGV ; 1034’)
Le 13 : Dérangement d’aiguille sur le tronc commun des lignes grandes vitesse à St Arnoult (19 TGV ; 289’)
Le 13 : Défaut d’alimentation électrique à la sortie de la gare de Paris Montparnasse (30 TGV ; 422’)
Le 17 : Rupture caténaire en gare de Paris Montparnasse (75 TGV ; 4801’)
Le 19 : Personnes dans les voies à la sortie de la gare de Paris Montparnasse (24 TGV ; 363’)
Le 23 : Présence d’objets pris dans la caténaire à la sortie du Mans (16 TGV ; 372’)
Du 29 au 31 : Dérangement du poste de Vanves (450 TGV ; 27110’)",0.085714286,0.314285714,0.285714286,0.142857143,0.114285714,0.057142857,22,53.6159091,10,7
55,2017,7,National,NANTES,PARIS MONTPARNASSE,130.2848361,498,10,#N/A,82,17.48780488,3.633196721,#N/A,75,43.12,8.147540984,"Ce mois-ci, l'OD a été touchée par: 
Le 6 : heurt d’un troupeau de vaches  vers La Suze (18 TGV ; 542’)
Le 7 : Défaillance matérielle à la sortie de la gare de Paris Montparnasse (87 TGV ; 2202’)
Le 11 : Divergence entre les équipements au sol et les TGV en circulation sur la grande ceinture parisienne (36 TGV ; 1034’)
Le 13 : Dérangement d’aiguille sur le tronc commun des lignes grandes vitesse à St Arnoult (19 TGV ; 289’)
Le 13 : Défaut d’alimentation électrique à la sortie de la gare de Paris Montparnasse (30 TGV ; 422’)
Le 17 : Rupture caténaire en gare de Paris Montparnasse (75 TGV ; 4801’)
Le 19 : Personnes dans les voies à la sortie de la gare de Paris Montparnasse (24 TGV ; 363’)
Du 29 au 31 : Dérangement du poste de Vanves (450 TGV ; 27110’)",0.172413793,0.413793103,0.24137931,0.120689655,0,0.051724138,52,56.7153846,32,17
56,2017,7,National,PARIS MONTPARNASSE,POITIERS,94.32848233,492,11,#N/A,61,30.32786885,3.910602911,#N/A,105,31.71428571,8.363825364,"Ce mois-ci, l'OD a été touchée par: 
Les 4 et 5 : dérangement de signalisation entre Poitiers et Niort (24 TGV ; 788’)
Le 7 : Défaillance matérielle à la sortie de la gare de Paris Montparnasse (87 TGV ; 2202’)
Le 11 : Divergence entre les équipements au sol et les TGV en circulation sur la grande ceinture parisienne (36 TGV ; 1034’)
Le 13 : Dérangement d’aiguille sur le tronc commun des lignes grandes vitesse à St Arnoult (19 TGV ; 289’)
Le 13 : Défaut d’alimentation électrique à la sortie de la gare de Paris Montparnasse (30 TGV ; 422’)
Le 17 : Rupture caténaire en gare de Paris Montparnasse (75 TGV ; 4801’)
Le 19 : Personnes dans les voies à la sortie de la gare de Paris Montparnasse (24 TGV ; 363’)
Le 23 : Présence d’objets pris dans la caténaire à la sortie du Mans (16 TGV ; 372’)
Du 29 au 31 : Dérangement du poste de Vanves (450 TGV ; 27110’)",0.09375,0.479166667,0.125,0.208333333,0.0625,0.03125,65,44.5494872,29,12
57,2017,7,National,QUIMPER,PARIS MONTPARNASSE,225.9372197,231,8,#N/A,8,12.875,0.573991031,#N/A,24,53.79166667,8.179372197,"Ce mois-ci, l'OD a été touchée par: 
Le 7 : Défaillance matérielle à la sortie de la gare de Paris Montparnasse (87 TGV ; 2202’)
Le 11 : Divergence entre les équipements au sol et les TGV en circulation sur la grande ceinture parisienne (36 TGV ; 1034’)
Le 13 : Dérangement d’aiguille sur le tronc commun des lignes grandes vitesse à St Arnoult (19 TGV ; 289’)
Le 13 : Défaut d’alimentation électrique à la sortie de la gare de Paris Montparnasse (30 TGV ; 422’)
Le 17 : Rupture caténaire en gare de Paris Montparnasse (75 TGV ; 4801’)
Le 19 : Personnes dans les voies à la sortie de la gare de Paris Montparnasse (24 TGV ; 363’)
Le 23 : Présence d’objets pris dans la caténaire à la sortie du Mans (16 TGV ; 372’)
Du 29 au 31 : Dérangement du poste de Vanves (450 TGV ; 27110’)",0.15,0.65,0.05,0.15,0,0,23,55.515942,13,7
58,2017,7,National,PARIS MONTPARNASSE,TOULOUSE MATABIAU,260.9606742,181,3,#N/A,42,21.9047619,5.511235955,#N/A,53,46.94339623,15.88202247,"Ce mois-ci, l'OD a été touchée par: 
Le 2 : Demande de secours d’un train Intercité vers Valence d’Agen (10 TGV ; 682’)
Le 7 : Défaillance matérielle à la sortie de la gare de Paris Montparnasse (87 TGV ; 2202’)
Le 11 : Divergence entre les équipements au sol et les TGV en circulation sur la grande ceinture parisienne (36 TGV ; 1034’)
Le 13 : Dérangement d’aiguille sur le tronc commun des lignes grandes vitesse à St Arnoult (19 TGV ; 289’)
Le 13 : Défaut d’alimentation électrique à la sortie de la gare de Paris Montparnasse (30 TGV ; 422’)
Le 17 : Rupture caténaire en gare de Paris Montparnasse (75 TGV ; 4801’)
Le 19 : Personnes dans les voies à la sortie de la gare de Paris Montparnasse (24 TGV ; 363’)
Le 23 : Présence d’objets pris dans la caténaire à la sortie du Mans (16 TGV ; 372’)
Du 29 au 31 : Dérangement du poste de Vanves (450 TGV ; 27110’)",0.169811321,0.377358491,0.150943396,0.226415094,0.056603774,0.018867925,53,46.9286164,24,9
59,2017,7,National,TOULOUSE MATABIAU,PARIS MONTPARNASSE,262.6902174,189,5,#N/A,23,16.86956522,2.097826087,#N/A,38,34.84210526,10.14673913,"Ce mois-ci, l'OD a été touchée par: 
Le 2 : Demande de secours d’un train Intercité vers Valence d’Agen (10 TGV ; 682’)
Le 7 : Défaillance matérielle à la sortie de la gare de Paris Montparnasse (87 TGV ; 2202’)
Le 11 : Divergence entre les équipements au sol et les TGV en circulation sur la grande ceinture parisienne (36 TGV ; 1034’)
Le 13 : Dérangement d’aiguille sur le tronc commun des lignes grandes vitesse à St Arnoult (19 TGV ; 289’)
Le 13 : Défaut d’alimentation électrique à la sortie de la gare de Paris Montparnasse (30 TGV ; 422’)
Le 17 : Rupture caténaire en gare de Paris Montparnasse (75 TGV ; 4801’)
Le 19 : Personnes dans les voies à la sortie de la gare de Paris Montparnasse (24 TGV ; 363’)
Le 23 : Présence d’objets pris dans la caténaire à la sortie du Mans (16 TGV ; 372’)
Du 29 au 31 : Dérangement du poste de Vanves (450 TGV ; 27110’)",0.129032258,0.548387097,0,0.290322581,0,0.032258065,38,34.8118421,14,3
60,2017,7,National,PARIS NORD,ARRAS,49.50185874,274,5,#N/A,12,19.08333333,1.115241636,#N/A,24,15.58333333,2.055762082,#N/A,0.375,0.0625,0.0625,0.3125,0.1875,0,8,32.0520833,3,0
61,2017,7,National,MONTPELLIER,LYON PART DIEU,110.7715134,343,6,#N/A,36,18.13888889,2.510385757,#N/A,84,29.72619048,9.795252226,incendie aux abords des voies entre Avignon et Nîmes + colis suspect dans le hall de la gare de Lyon Part-Dieu + défaut calculateur à Avignon + heurt d'une personne par le Fret 44108 entre Vestric et Lunel,0.25862069,0.206896552,0.24137931,0.172413793,0.051724138,0.068965517,66,34.4800505,23,11
62,2017,7,National,MARSEILLE ST CHARLES,LILLE,296.6467391,187,3,#N/A,19,12.47368421,1.711956522,#N/A,76,28.76315789,13.89130435,#N/A,0.194444444,0.180555556,0.430555556,0.111111111,0.027777778,0.055555556,76,28.7894737,26,4
63,2017,7,International,PARIS LYON,ZURICH,224.1409396,149,0,#N/A,30,28.53333333,6.046979866,#N/A,20,45.65,6.651006711,#N/A,0.3,0.1,0.05,0.5,0.05,0,20,45.5958333,12,6
64,2017,7,International,ZURICH,PARIS LYON,251.4026846,149,0,#N/A,3,6,1,#N/A,7,29.42857143,1.543624161,#N/A,0.285714286,0,0.571428571,0.142857143,0,0,6,32.0972222,2,1
65,2015,3,National,METZ,PARIS EST,85.44691781,294,2,#N/A,37,13.35135135,2.390410959,#N/A,50,18.14,3.294520548,#N/A,0.2,0.155555556,0.555555556,0.088888889,0,0,22,29.3636364,8,0
66,2015,3,National,PARIS EST,REIMS,47.18894009,217,0,#N/A,5,17.4,0.474654378,#N/A,8,20.625,1.129032258,#N/A,0.625,0.25,0,0.125,0,0,5,27.8,1,0
67,2015,3,National,PARIS EST,STRASBOURG,141.6798643,443,1,#N/A,12,18.5,0.624434389,#N/A,29,32.86206897,2.742081448,#N/A,0.428571429,0.142857143,0.25,0.107142857,0.071428571,0,20,42.05,11,4
68,2015,3,National,AVIGNON TGV,PARIS LYON,162.8043478,508,2,#N/A,87,16.83908046,3.747035573,#N/A,47,28.55319149,0.998023715,#N/A,0.234042553,0.29787234,0.106382979,0.127659574,0.127659574,0.106382979,36,33.4444444,19,2
69,2015,3,National,MACON LOCHE,PARIS LYON,100.489071,183,0,#N/A,48,11.0625,4.087431694,#N/A,10,18.6,-0.306010929,#N/A,0.2,0,0.4,0.1,0.2,0.1,5,24.2,1,0
70,2015,3,National,MARSEILLE ST CHARLES,PARIS LYON,199.4433249,398,1,#N/A,16,17.3125,0.881612091,#N/A,12,58.41666667,0.055415617,#N/A,0.5,0.166666667,0,0.166666667,0.083333333,0.083333333,12,58.4166667,7,4
71,2015,3,National,PARIS LYON,NIMES,180.3304795,292,0,#N/A,8,19,0.599315068,#N/A,20,32.25,4.578767123,#N/A,0.45,0.15,0,0.3,0.1,0,19,33.3684211,10,1
72,2015,3,National,PERPIGNAN,PARIS LYON,305.2017544,114,0,#N/A,5,10.8,0.622807018,#N/A,14,29.71428571,4,#N/A,0.357142857,0.357142857,0.071428571,0.214285714,0,0,14,29.7142857,5,1
73,2015,3,National,PARIS LYON,TOULON,233.5707547,213,1,#N/A,10,22.9,1.259433962,#N/A,28,33.42857143,7.740566038,#N/A,0.25,0.25,0.107142857,0.25,0.107142857,0.035714286,28,33.4285714,12,3
74,2015,3,National,PARIS MONTPARNASSE,BORDEAUX ST JEAN,207.7147287,645,0,#N/A,8,21.375,0.337984496,#N/A,27,32.74074074,2.040310078,#N/A,0.36,0.24,0.12,0.08,0.12,0.08,27,32.7407407,9,2
75,2015,3,National,PARIS MONTPARNASSE,LE MANS,55.82417582,455,0,#N/A,12,13.08333333,0.454945055,#N/A,36,13.97222222,1.826373626,#N/A,0.333333333,0.277777778,0.055555556,0.083333333,0.194444444,0.055555556,13,21.8461538,1,0
76,2015,3,National,LE MANS,PARIS MONTPARNASSE,58.78632479,468,0,#N/A,38,24.92105263,2.487179487,#N/A,47,25.21276596,2.677350427,#N/A,0.318181818,0.454545455,0.113636364,0.068181818,0.045454545,0,24,41.5833333,9,5
77,2015,3,National,ST PIERRE DES CORPS,PARIS MONTPARNASSE,63.79498861,439,0,#N/A,25,19.84,1.701594533,#N/A,35,18.74285714,1.692482916,#N/A,0.21875,0.40625,0.125,0.15625,0.03125,0.0625,11,42.1818182,6,1
